NOVALUE	NO BENEFIT	NA	NA	0.00
AREIBRO	MEDICARE	INDIVIDUAL	BRONZE	0.00
AREISIL	MEDICARE	INDIVIDUAL	SILVER	24.60
AREIGOL	MEDICARE	INDIVIDUAL	GOLD	37.95
AREIPLA	MEDICARE	INDIVIDUAL	PLATINUM	65.00
AREGBRO	MEDICARE	GROUP	BRONZE	25.00
AREGSIL	MEDICARE	GROUP	SILVER	63.14
AREGGOL	MEDICARE	GROUP	GOLD	105.00
AREGPLA	MEDICARE	GROUP	PLATINUM	185.00
AETIBRO	AETNA	INDIVIDUAL	BRONZE	400.00
AETISIL	AETNA	INDIVIDUAL	SILVER	420.00
AETIGOL	AETNA	INDIVIDUAL	GOLD	475.00
AETIPLA	AETNA	INDIVIDUAL	PLATINUM	500.00
AETGBRO	AETNA	GROUP	BRONZE	910.00
AETGSIL	AETNA	GROUP	SILVER	940.00
AETGGOL	AETNA	GROUP	GOLD	980.00
AETGPLA	AETNA	GROUP	PLATINUM	1025.00
AIDIBRO	MEDICAID	INDIVIDUAL	BRONZE	0.00
AIDISIL	MEDICAID	INDIVIDUAL	SILVER	15.00
AIDIGOL	MEDICAID	INDIVIDUAL	GOLD	35.00
AIDIPLA	MEDICAID	INDIVIDUAL	PLATINUM	50.00
AIDGBRO	MEDICAID	GROUP	BRONZE	10.00
AIDGSIL	MEDICAID	GROUP	SILVER	35.00
AIDGGOL	MEDICAID	GROUP	GOLD	105.00
AIDGPLA	MEDICAID	GROUP	PLATINUM	178.00
BLCIBRO	BLUE CROSS	INDIVIDUAL	BRONZE	331.00
BLCISIL	BLUE CROSS	INDIVIDUAL	SILVER	350.00
BLCIGOL	BLUE CROSS	INDIVIDUAL	GOLD	400.00	
BLCGBRO	BLUE CROSS	GROUP	BRONZE	662.00
BLCGSIL	BLUE CROSS	GROUP	SILVER	700.00
BLCGGOL	BLUE CROSS	GROUP	GOLD	800.00
CIGIBRO	CIGNA	INDIVIDUAL	BRONZE	800.00
CIGISIL	CIGNA	INDIVIDUAL	SILVER	900.00
CIGIGOL	CIGNA	INDIVIDUAL	GOLD	1000.00
CIGGBRO	CIGNA	GROUP	BRONZE	1600.00
CIGGSIL	CIGNA	GROUP	SILVER	2000.00
CIGGGOL	CIGNA	GROUP	GOLD	2400.00
GHIIBRO	GHI	INDIVIDUAL	BRONZE	250.00
GHIISIL	GHI	INDIVIDUAL	SILVER	350.00
GHIIGOL	GHI	INDIVIDUAL	GOLD	450.00
GHIGBRO	GHI	GROUP	BRONZE	550.00
GHIGSIL	GHI	GROUP	SILVER	670.00
GHIGGOL	GHI	GROUP	GOLD	810.00
HIPIBRO	HIP	INDIVIDUAL	BRONZE	250.00
HIPISIL	HIP	INDIVIDUAL	SILVER	458.33
HIPIGOL	HIP	INDIVIDUAL	GOLD	600.00
HIPGBRO	HIP	GROUP	BRONZE	1600.00
HIPGSIL	HIP	GROUP	SILVER	1800.00
HIPGGOL	HIP	GROUP	GOLD	2000.00
OBAIBRO	OBAMACARE	INDIVIDUAL	BRONZE	25.00
OBAGSIL	OBAMACARE	GROUP	BRONZE	68.00
